0x0C0B,PT_LONG,PR_PHYSICAL_DELIVERY_MODE,PidTagPhysicalDeliveryMode
0x0C0C,PT_LONG,PR_PHYSICAL_DELIVERY_REPORT_REQUEST,PidTagPhysicalDeliveryReportRequest
0x0C0D,PT_BINARY,PR_PHYSICAL_FORWARDING_ADDRESS,PidTagPhysicalForwardingAddressRequested
0x0C0E,PT_BOOLEAN,PR_PHYSICAL_FORWARDING_ADDRESS_REQUESTED,PidTagPhysicalForwardingAddress
0x0C0F,PT_BOOLEAN,PR_PHYSICAL_FORWARDING_PROHIBITED,PidTagPhysicalForwardingProhibited
0x0C10,PT_BINARY,PR_PHYSICAL_RENDITION_ATTRIBUTES,PidTagPhysicalRenditionAttributes
0x0C11,PT_BINARY,PR_PROOF_OF_DELIVERY,PidTagProofOfDelivery
0x0C12,PT_BOOLEAN,PR_PROOF_OF_DELIVERY_REQUESTED,PidTagProofOfDeliveryRequested
0x0C13,PT_BINARY,PR_RECIPIENT_CERTIFICATE,PidTagRecipientCertificate
0x0C14,PT_TSTRING,PR_RECIPIENT_NUMBER_FOR_ADVICE,PidTagRecipientNumber
0x0C14,PT_STRING8,PR_RECIPIENT_NUMBER_FOR_ADVICE_A,PidTagRecipientNumber
0x0C14,PT_UNICODE,PR_RECIPIENT_NUMBER_FOR_ADVICE_W,PidTagRecipientNumber
0x0C15,PT_LONG,PR_RECIPIENT_TYPE,PidTagRecipientType
0x0C16,PT_LONG,PR_REGISTERED_MAIL_TYPE,PidTagRegisteredMailType
0x0C17,PT_BOOLEAN,PR_REPLY_REQUESTED,PidTagReplyRequested
0x0C18,PT_LONG,PR_REQUESTED_DELIVERY_METHOD,PidTagRequestedDeliveryMethod
0x0C19,PT_BINARY,PR_SENDER_ENTRYID,PidTagSenderEntryId
0x0C1A,PT_TSTRING,PR_SENDER_NAME,PidTagSenderName
0x0C1A,PT_STRING8,PR_SENDER_NAME_A,PidTagSenderName
0x0C1A,PT_UNICODE,PR_SENDER_NAME_W,PidTagSenderName
0x0C1B,PT_TSTRING,PR_SUPPLEMENTARY_INFO,PidTagSupplementaryInfo
0x0C1B,PT_STRING8,PR_SUPPLEMENTARY_INFO_A,PidTagSupplementaryInfo
0x0C1B,PT_UNICODE,PR_SUPPLEMENTARY_INFO_W,PidTagSupplementaryInfo
0x0C1C,PT_LONG,PR_TYPE_OF_MTS_USER,PidTagTypeOfX400User
0x0C1D,PT_BINARY,PR_SENDER_SEARCH_KEY,PidTagSenderSearchKey
0x0C1E,PT_TSTRING,PR_SENDER_ADDRTYPE,PidTagSenderAddressType
0x0C1E,PT_STRING8,PR_SENDER_ADDRTYPE_A,PidTagSenderAddressType
0x0C1E,PT_UNICODE,PR_SENDER_ADDRTYPE_W,PidTagSenderAddressType
0x0C1F,PT_TSTRING,PR_SENDER_EMAIL_ADDRESS,PidTagSenderEmailAddress
0x0C1F,PT_STRING8,PR_SENDER_EMAIL_ADDRESS_A,PidTagSenderEmailAddress
0x0C1F,PT_UNICODE,PR_SENDER_EMAIL_ADDRESS_W,PidTagSenderEmailAddress
0x0E00,PT_I8,PR_CURRENT_VERSION,
0x0E01,PT_BOOLEAN,PR_DELETE_AFTER_SUBMIT,PidTagDeleteAfterSubmit
0x0E02,PT_TSTRING,PR_DISPLAY_BCC,PidTagDisplayBcc
0x0E02,PT_STRING8,PR_DISPLAY_BCC_A,PidTagDisplayBcc
0x0E02,PT_UNICODE,PR_DISPLAY_BCC_W,PidTagDisplayBcc
0x0E03,PT_TSTRING,PR_DISPLAY_CC,PidTagDisplayCc
0x0E03,PT_STRING8,PR_DISPLAY_CC_A,PidTagDisplayCc
0x0E03,PT_UNICODE,PR_DISPLAY_CC_W,PidTagDisplayCc
0x0E04,PT_TSTRING,PR_DISPLAY_TO,PidTagDisplayTo
